datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
6/1/2024 4:00,6/1/2024 0:00,MIDATL,-2.956
6/1/2024 3:00,5/31/2024 23:00,MIDATL,-1.818
6/1/2024 2:00,5/31/2024 22:00,MIDATL,-1.725
6/1/2024 1:00,5/31/2024 21:00,MIDATL,-2.838
6/1/2024 0:00,5/31/2024 20:00,MIDATL,6.794
5/31/2024 23:00,5/31/2024 19:00,MIDATL,138.889
5/31/2024 22:00,5/31/2024 18:00,MIDATL,468.029
5/31/2024 21:00,5/31/2024 17:00,MIDATL,801.265
5/31/2024 20:00,5/31/2024 16:00,MIDATL,1004.006
5/31/2024 19:00,5/31/2024 15:00,MIDATL,1112.969
5/31/2024 18:00,5/31/2024 14:00,MIDATL,1156.267
5/31/2024 17:00,5/31/2024 13:00,MIDATL,1190.735
5/31/2024 16:00,5/31/2024 12:00,MIDATL,1186.25
5/31/2024 15:00,5/31/2024 11:00,MIDATL,1269.173
5/31/2024 14:00,5/31/2024 10:00,MIDATL,1229.406
5/31/2024 13:00,5/31/2024 9:00,MIDATL,1098.789
5/31/2024 12:00,5/31/2024 8:00,MIDATL,877.222
5/31/2024 11:00,5/31/2024 7:00,MIDATL,489.138
5/31/2024 10:00,5/31/2024 6:00,MIDATL,111.99
5/31/2024 9:00,5/31/2024 5:00,MIDATL,1.807
5/31/2024 8:00,5/31/2024 4:00,MIDATL,-1.915
5/31/2024 7:00,5/31/2024 3:00,MIDATL,-2.006
5/31/2024 6:00,5/31/2024 2:00,MIDATL,-1.957
5/31/2024 5:00,5/31/2024 1:00,MIDATL,-1.947
5/31/2024 4:00,5/31/2024 0:00,MIDATL,-1.95
5/31/2024 3:00,5/30/2024 23:00,MIDATL,-1.921
5/31/2024 2:00,5/30/2024 22:00,MIDATL,-1.906
5/31/2024 1:00,5/30/2024 21:00,MIDATL,-4.033
5/31/2024 0:00,5/30/2024 20:00,MIDATL,4.255
5/30/2024 23:00,5/30/2024 19:00,MIDATL,118.398
5/30/2024 22:00,5/30/2024 18:00,MIDATL,424.806
5/30/2024 21:00,5/30/2024 17:00,MIDATL,726.339
5/30/2024 20:00,5/30/2024 16:00,MIDATL,863.001
5/30/2024 19:00,5/30/2024 15:00,MIDATL,1046.664
