datetime_beginning_utc,solar_generation_mw,Temperature,Relative Humidity,GHI
1/1/2022 0:00,-1.332,9.2,100,0
1/1/2022 1:00,-1.319,9.3,100,0
1/1/2022 2:00,-1.323,9.3,100,0
1/1/2022 3:00,-1.291,9.3,100,0
1/1/2022 4:00,-1.333,9.5,100,0
1/1/2022 5:00,-1.333,9.9,99.14,0
1/1/2022 6:00,-1.323,10.3,97.99,0
1/1/2022 7:00,-1.355,10.6,97.8,0
1/1/2022 8:00,-1.313,10.7,98.89,0
1/1/2022 9:00,-1.363,11,98.68,0
1/1/2022 10:00,-1.309,11,100,0
1/1/2022 11:00,-1.348,10.8,100,0
1/1/2022 12:00,-0.473,11.1,99,2
1/1/2022 13:00,9.393,11.8,97.27,16
1/1/2022 14:00,28.633,12.2,96.93,41
1/1/2022 15:00,48.791,12.6,95.96,42
1/1/2022 16:00,66.77,13.2,94.78,42
1/1/2022 17:00,57.109,13.8,94.56,24
1/1/2022 18:00,49.029,14,95.72,45
1/1/2022 19:00,43.969,14.2,96.8,88
1/1/2022 20:00,18.4,14.2,100,89
1/1/2022 21:00,0.83,13.8,100,5
1/1/2022 22:00,-1.366,13.8,100,0
1/1/2022 23:00,-1.307,14,100,0
1/2/2022 0:00,-1.314,14.2,100,0
1/2/2022 1:00,-1.314,14.3,100,0
1/2/2022 2:00,-1.32,14.3,100,0
1/2/2022 3:00,-1.3,14.2,100,0
1/2/2022 4:00,-1.315,14.2,100,0
1/2/2022 5:00,-1.325,14.1,100,0
1/2/2022 6:00,-1.345,14,100,0
1/2/2022 7:00,-1.338,13.9,100,0
1/2/2022 8:00,-1.363,13.7,100,0
1/2/2022 9:00,-1.336,13.5,100,0
1/2/2022 10:00,-1.315,13.1,100,0
1/2/2022 11:00,-1.364,13,100,0
1/2/2022 12:00,0.042,13.1,99.32,3
1/2/2022 13:00,14.091,13.4,97.81,22
1/2/2022 14:00,45.611,13.8,97.09,24
1/2/2022 15:00,66.694,14.2,96.16,15
1/2/2022 16:00,93.34,14.5,96.09,133
1/2/2022 17:00,120.73,14.7,95.5,99
1/2/2022 18:00,125.914,14.7,95.34,52
1/2/2022 19:00,87.939,14.5,95.86,64
1/2/2022 20:00,36.919,13.9,98.42,34
1/2/2022 21:00,2.58,13.3,100,6
1/2/2022 22:00,-1.35,13,100,0
1/2/2022 23:00,-1.341,12.8,99.46,0
1/3/2022 0:00,-1.311,12.2,93.86,0
1/3/2022 1:00,-1.328,11,86.97,0
1/3/2022 2:00,-1.319,9.8,82.45,0
1/3/2022 3:00,-1.315,8.5,83.07,0
1/3/2022 4:00,-1.364,7.1,82.38,0
1/3/2022 5:00,-1.372,5.9,79.91,0
1/3/2022 6:00,-1.401,5,77.51,0
1/3/2022 7:00,-1.366,4.4,78.66,0
1/3/2022 8:00,-1.402,3.6,84.92,0
1/3/2022 9:00,-1.369,2.6,90.84,0
1/3/2022 10:00,-1.4,2.1,92.1,0
1/3/2022 11:00,-1.399,2,92.24,0
1/3/2022 12:00,-1.235,2,92.55,5
1/3/2022 13:00,3.958,1.9,91.94,21
1/3/2022 14:00,8.464,1.8,91.09,8
1/3/2022 15:00,22.939,1.6,90.04,23
1/3/2022 16:00,29.484,1.4,89.72,73
1/3/2022 17:00,35.696,0.9,89.44,14
1/3/2022 18:00,34.191,0.6,88.03,40
1/3/2022 19:00,25.496,0.3,87.9,27
1/3/2022 20:00,14.375,0.1,86.33,22
1/3/2022 21:00,1.547,-0.1,83.56,11
1/3/2022 22:00,-1.409,-0.3,80.28,0
1/3/2022 23:00,-1.377,-0.8,79.16,0
1/4/2022 0:00,-1.326,-1.5,80.7,0
1/4/2022 1:00,-1.389,-2.1,82.53,0
1/4/2022 2:00,-1.378,-2.8,84.38,0
1/4/2022 3:00,-1.355,-3.3,84.69,0
1/4/2022 4:00,-1.355,-3.9,86.1,0
